hex,count_good_aircraft,count_bad_aircraft
8400535ffffffff,1,0
84005ddffffffff,1,0
8400c95ffffffff,1,0
8400cd3ffffffff,1,0
8401131ffffffff,1,0
8401225ffffffff,1,0
8401227ffffffff,2,0
8401243ffffffff,1,0
840124bffffffff,3,0
8401259ffffffff,2,0
840125bffffffff,1,0
8401267ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
8401341ffffffff,1,1
8401351ffffffff,5,1
8401355ffffffff,2,0
8401359ffffffff,1,0
840135dffffffff,10,2
840248bffffffff,1,0
8402493ffffffff,1,0
8402499ffffffff,2,0
840249bffffffff,3,0
840249dffffffff,3,0
84024cbffffffff,1,0
84024d1ffffffff,6,0
84024d3ffffffff,5,0
84024d5ffffffff,3,0
84024d7ffffffff,6,0
84024d9ffffffff,10,0
84024dbffffffff,4,0
84024ddffffffff,3,0
8402687ffffffff,1,0
8402691ffffffff,8,0
8402693ffffffff,5,0
8402695ffffffff,1,0
8402697ffffffff,7,0
8402699ffffffff,9,0
840269bffffffff,1,0
84026b1ffffffff,2,0
84026b3ffffffff,7,0
84026b7ffffffff,1,0
84026b9ffffffff,1,0
84026bbffffffff,4,0
8403059ffffffff,1,0
840306dffffffff,1,0
8403269ffffffff,1,0
8406283ffffffff,6,0
8406289ffffffff,6,0
840628bffffffff,7,0
8406291ffffffff,9,0
8406293ffffffff,17,0
8406295ffffffff,6,0
8406297ffffffff,10,0
8406299ffffffff,10,0
840629bffffffff,18,0
840629dffffffff,11,0
84062b9ffffffff,5,0
84062c1ffffffff,4,0
84062c3ffffffff,3,0
84062c7ffffffff,2,0
84062cbffffffff,8,0
84062d1ffffffff,7,0
84062d3ffffffff,13,0
84062d5ffffffff,10,0
84062d7ffffffff,7,0
84062d9ffffffff,10,0
84062dbffffffff,8,0
84062ddffffffff,6,0
8406601ffffffff,11,0
8406603ffffffff,4,0
8406605ffffffff,7,0
8406607ffffffff,2,0
8406609ffffffff,15,0
840660bffffffff,8,0
840660dffffffff,16,0
8406621ffffffff,13,0
8406625ffffffff,9,0
8406629ffffffff,19,0
840662bffffffff,1,0
840662dffffffff,22,0
8406641ffffffff,16,0
8406643ffffffff,10,0
8406645ffffffff,17,0
8406647ffffffff,13,0
8406649ffffffff,20,0
840664bffffffff,13,0
840664dffffffff,17,0
8406651ffffffff,5,0
8406655ffffffff,11,0
8406657ffffffff,3,0
8406659ffffffff,5,0
840665bffffffff,1,0
840665dffffffff,6,0
8406661ffffffff,25,0
8406663ffffffff,19,0
8406665ffffffff,21,0
8406667ffffffff,26,0
8406669ffffffff,18,1
840666bffffffff,24,0
840666dffffffff,25,0
8406703ffffffff,3,0
840670bffffffff,1,0
8406711ffffffff,1,0
8406715ffffffff,3,0
8406719ffffffff,9,0
840671dffffffff,22,0
8406741ffffffff,7,0
8406743ffffffff,5,0
8406745ffffffff,4,0
8406749ffffffff,7,0
840674bffffffff,6,0
840674dffffffff,8,0
8406751ffffffff,24,0
8406753ffffffff,2,0
8406755ffffffff,1,0
8406757ffffffff,33,0
8406759ffffffff,32,0
840675bffffffff,6,0
840675dffffffff,3,0
8406763ffffffff,1,0
8406769ffffffff,3,0
840676bffffffff,1,0
8406987ffffffff,1,0
8406995ffffffff,1,0
8406997ffffffff,2,0
84069a1ffffffff,1,0
84069a3ffffffff,5,0
84069a5ffffffff,8,0
84069a7ffffffff,1,0
84069a9ffffffff,2,0
84069abffffffff,1,0
84069adffffffff,7,0
84069b1ffffffff,4,0
84069b3ffffffff,5,0
84069b7ffffffff,7,0
84069b9ffffffff,1,0
84069bbffffffff,5,0
84069bdffffffff,1,0
84069e7ffffffff,1,0
8406c03ffffffff,9,0
8406c05ffffffff,18,0
8406c15ffffffff,1,0
8406c17ffffffff,2,0
8406c1dffffffff,1,0
8406c21ffffffff,20,0
8406c23ffffffff,19,0
8406c25ffffffff,6,0
8406c27ffffffff,23,0
8406c29ffffffff,16,0
8406c2bffffffff,24,0
8406c2dffffffff,2,0
8406c31ffffffff,10,0
8406c33ffffffff,4,0
8406c35ffffffff,9,0
8406c37ffffffff,16,0
8406c39ffffffff,10,0
8406c3bffffffff,3,0
8406c61ffffffff,7,0
8406c63ffffffff,2,0
8406c65ffffffff,10,0
